enName,chName
eyesight,n.视力
tortoise,n.陆龟；龟，乌龟；行动迟缓的人（或物）
tram,n.有轨电车
psychology,n.心理学
mat,n.席子；垫子
penalty,n.刑罚，处罚；罚款；罚球（或罚下场等）；（行为、处境等造成的）不利后果；苦难；困难；障碍
labour,n.(=labor) 劳动, 劳动力, 工人
shelter,n.栖息处；住所，庇护所
teenager,n.（13~19岁的）青少年
propose,vt.提议；建议
organ,n.器官
railway,n.铁路；铁道
moustache,n.髭；胡须
irrigation,n.灌溉
marathon,n.马拉松
communist,n.共产主义者
muddy,adj.沾满泥巴的；泥泞的
rooster,n.公鸡
wrestle,vi.摔跤
lounge,n.休息厅，休息室
dustbin,n.（英）垃圾箱
trolleybus,n.无轨电车
awful,adj.可怕的，骇人的；难过的；极坏的，糟糕的，极讨厌的；非常的，极大的；使人敬畏的，庄严的
skeptical,adj.（美）表示怀疑的=sceptical（英）
skate,vi.溜冰，滑冰
heel,n.足跟
botanical,adj.植物学的
tobacco,n.烟草
squeeze,vi.挤；压榨
ecology,n.生态；生态学
jog,v.慢跑
electric,adj.电的
centigrade,adj.摄氏的
routine,n.常规，惯例；常规节目，节目
bonus,n.额外的东西或好处；奖金
bark,vi.（狗）吠，叫
centimetre,n.厘米，公分
broom,n.扫帚
deposit,n.存款；押金
aside,adv.在旁边
questionnaire,n.问卷
compete,vi.比赛；竞争
fan,n.扇子，风扇；迷；狂热爱好者
divorce,vt.与……离婚
bowl,n.碗
leather,n.皮，皮革
quarter,n.一刻钟；四分之一
plate,n.盘子
accountant,n.会计人员；会计师
receipt,n.收据
grey,n.灰色，灰白
sneaker,n.（美）运动鞋
secretary,n.秘书
picnic,vi.参加野餐，去野餐
outer,adj.外部的，外面的
presence,n.出席，到场；存在
airmail,n.航空邮件
shout,n.呼喊，喊叫
walnut,n.胡桃，胡桃木
capable,adj.有能力（或才能、技能、力量）的
cuisine,n.烹饪术；烹饪
bandage,n.绷带
servant,n.仆人
legal,adj.合法的；法律的，法定的
praise,n.表扬，赞扬，表彰
gallery,n.美术馆，画廊
ample,adj.充足的，丰富的
deer,n.鹿
sock,n.短袜
truly,adv.真正地；真诚地；真实地
tentative,adj.试验性的；试探的；尝试的；暂定的
representative,n.代表
pot,n.罐，壶
balcony,n.阳台；包厢
kite,n.风筝
cute,adj.漂亮的，迷人的，娇小可爱的，精巧的，小巧玲珑的；聪明伶俐的，机敏的；精明的
pine,n.松树
pedestrian,n.行人，步行者
dive,vi.潜水；跳水
ferry,n.渡船；渡口
airspace,n.上空；空域
pear,n.梨
violinist,n.小提琴手，小提琴演奏家
liberal,adj.心胸开阔的，开明的；慷慨的，大方的；自由的
definite,adj.清楚的，明确的；一定的，肯定的
criterion,n.标准；准则（pl.criteria）
astronomer,n.天文学家
accuracy,n.精确，准确
definition,n.定义；释义；（轮廓等的）清晰（度）
thermos,n.热水瓶
lame,adj.跛足的
symptom,n.症状
emperor,n.皇帝，君主
shabby,adj.破旧的，破烂的；卑鄙的，不光彩的；低劣的，蹩脚的
friction,n.摩擦，摩擦力；争执，分歧，不和
Oceania,n.大洋洲
watermelon,n.西瓜
kilogram,n.千克，公斤
opposition,n.反对；对立；相反
defeat,vt.打败，战胜
athletic,adj.体育运动的；健壮的，强健的
jewellery,n.（总称）珠宝，首饰=jewelry（美）
resign,vt.放弃，辞去
bitter,adj.怀恨的；苦的；痛苦的
tiresome,adj.令人厌倦的, 令人讨厌的
harmony,n.和谐，协调，融洽
capsule,n.胶囊
sharpen,vt.（使）变锋利，削尖
politician,n.从政者，政治家，政客
mineral,n.矿物质；矿物
stove,n.（供烹饪用的）火炉；煤炉；电炉
brunch,n.早午饭（晚早饭）
resemble,vt.同……相像，与……类似
tense,adj.紧张的，心烦意乱的
bathe,v.用水清洗（尤指身体部位）；（到海、河等中）游泳消遣；洗澡
lend,vt.借出
mommy,n.（美）妈妈（=mummy）
tone,n.腔调，语气；音，音调，声调
typewriter,n.打字机
average,adj.一般的，普通的；平均的
cave,n.洞穴，岩洞
applaud,vi.鼓掌，喝彩，叫好
beer,n.啤酒
belly,n.肚子
vacation,n.（美）假期；休假
companion,n.同伴；伴侣
theoretical,adj.理论的
coat,n.外套；涂层；表皮；皮毛
niece,n.侄女；甥女
boundary,n.边界，分界线
bond,n.约束；合同；债券；纽带；联系
alcoholic,adj.酒精的；含酒精的
beef,n.牛肉
rural,adj.农村的，乡村的
armchair,n.扶手椅
vinegar,n.醋
superior,adj.优越的，占优势的
cassette,n.盒式磁带；磁带盒
bush,n.灌木，矮树
track,vt.跟踪；追踪
dictation,n.听写
daily,n.日报
steep,adj.陡峭的
sharpener,n.削尖用的器具
giraffe,n.长颈鹿
gesture,n.姿势，手势
outward,adj.表面的; 外表的; 外出的; 向外的; 位于外面的
dismiss,vt.不认真对待，打发；解散，使……离开；解雇，免……的职；摈弃（想法等），抛弃
salty,adj.咸味的；多盐分的
pub,n.酒吧
ankle,n.踝；踝关节
dumpling,n.汤团；饺子；水果布丁
adolescent,adj.青春期的
dull,adj.枯燥的，乏味的，单调的
political,adj.政治上的
departure,n.离开，启程，出发
valley,n.山谷，峡谷
woollen,adj.羊毛的，羊毛制的
ad,abbr.(大写AD)公元
microscope,n.显微镜
seashell,n.海贝壳
bleed,vi.流血，出血
accent,n.口音
literature,n.文学；文学作品；文献，著作，资料
astronomy,n.天文学
dormitory,n.宿舍（非正式写法为dorm）
sheet,n.被单
punish,vt.惩罚
relay,n.接力；接替人；中转
consensus,n.一致的意见, 共识
spoonful,n.一匙的量
superb,adj.极好的，棒的
adolescence,n.青春期
zipper,n.拉链
steak,n.牛排，肉排，鱼排
applicant,n.申请者
cotton,n.棉，棉布；棉花
council,n.（市、郡等的）政务委员会；地方议会；理事会；委员会
jam,n.拥挤，阻塞；果酱
crayon,n.蜡笔
sunburnt,adj.晒黑的
explicit,adj.明确的，明晰的，不含混的；详尽的
thread,n.线
addicted,adj.上瘾的，沉溺的，入迷的
mature,adj.成熟的
latter,adj.（两者中）后者（的）
grocer,n.杂货商
whistle,n.口哨，口哨声
polite,adj.有礼貌的，客气的
steam,v.蒸；蒸发
appetite,n.爱好，欲望；食欲，胃口
goose,n.鹅（pl.geese）
imply,vt.暗示；含有……的意思
alley,n.小巷，胡同
pole,n.杆子；地极
trunk,n.树干；大箱子；象鼻
inn,n.客栈，小而旧的旅馆
mutton,n.羊肉
carpet,n.地毯
junction,n.（道路、铁路等的）交叉点，枢纽
pork,n.猪肉
embarrass,vt.使尴尬，使困窘，使不好意思，使局促
suck,vt.吸吮
feast,n.盛宴，筵席
stainless,adj.不锈的；无瑕的，无污点的
apparent,adj.明显的，显然的
whisper,n.低语，耳语
fog,n.雾
lane,n.乡村小道；巷，胡同；车道
paragraph,n.段落
phrase,n.词组，短语
grammar,n.语法
nationality,n.国籍；民族
buffet,n.自助餐
vest,n.背心，马甲
spade,n.铲子；纸牌中的黑桃
statesman,n.政治家（pl. statesmen）
straw,n.（喝饮料用的）吸管；（干的）稻草，麦杆
choke,v.阻塞；（使）窒息，（使）呛
worn,adj.用旧的；疲倦的
tailor,n.裁缝
yoghurt,n.酸乳酪
marvellous,adj.奇迹般的，惊人的，了不起的
Olympics,n.奥林匹克
bureaucracy,n.官僚主义，官僚作风
clap,vt.鼓掌，拍手
tease,v.嘲笑，取笑，奚落
eggplant,n.茄子
merchant,adj.商业的；商人的
stock,n.现货，存货；储备物
bacon,n.熏猪肉，咸猪肉
bounce,vi.弹起；跳跃
bishop,n.（基督教的）主教
clumsy,adj.笨拙的
referee,n.裁判员
polish,v.磨光，擦亮
interval,n.间隔
